iter	Passed	Remaining
0	0	263
1	0	238
2	0	226
3	0	222
4	1	217
5	1	219
6	1	218
7	1	215
8	1	214
9	2	213
10	2	212
11	2	212
12	2	212
13	2	210
14	3	210
15	3	209
16	3	208
17	3	208
18	4	207
19	4	211
20	4	210
21	4	209
22	4	209
23	5	208
24	5	207
25	5	207
26	5	206
27	5	204
28	6	203
29	6	203
30	6	202
31	6	201
32	6	201
33	7	200
34	7	200
35	7	200
36	7	199
37	7	199
38	8	199
39	8	199
40	8	198
41	8	198
42	8	198
43	9	197
44	9	197
45	9	197
46	9	197
47	9	196
48	10	196
49	10	196
50	10	196
51	10	196
52	10	195
53	11	196
54	11	196
55	11	195
56	11	195
57	12	195
58	12	195
59	12	195
60	12	194
61	12	194
62	13	193
63	13	193
64	13	193
65	13	192
66	13	192
67	14	192
68	14	192
69	14	191
70	14	191
71	14	191
72	15	191
73	15	190
74	15	190
75	15	190
76	15	189
77	16	189
78	16	189
79	16	188
80	16	188
81	16	188
82	16	186
83	17	186
84	17	185
85	17	185
86	17	185
87	17	185
88	18	185
89	18	184
90	18	184
91	18	184
92	18	184
93	19	183
94	19	183
95	19	183
96	19	182
97	19	182
98	20	182
99	20	182
100	20	182
101	20	182
102	20	182
103	21	182
104	21	182
105	21	181
106	21	181
107	21	181
108	22	180
109	22	180
110	22	180
111	22	180
112	22	179
113	23	179
114	23	179
115	23	178
116	23	178
117	23	178
118	24	177
119	24	177
120	24	176
121	24	176
122	24	176
123	24	175
124	25	175
125	25	175
126	25	174
127	25	174
128	25	174
129	26	174
130	26	174
131	26	173
132	26	173
133	26	173
134	27	173
135	27	172
136	27	172
137	27	172
138	27	172
139	28	172
140	28	171
141	28	171
142	28	170
143	28	170
144	28	170
145	29	170
146	29	170
147	29	169
148	29	169
149	29	169
150	30	169
151	30	168
152	30	168
153	30	168
154	30	168
155	31	167
156	31	167
157	31	167
158	31	167
159	31	167
160	31	166
161	32	166
162	32	166
163	32	165
164	32	165
165	32	165
166	33	165
167	33	165
168	33	164
169	33	164
170	33	164
171	34	164
172	34	164
173	34	163
174	34	163
175	34	163
176	35	163
177	35	163
178	35	162
179	35	162
180	35	162
181	36	162
182	36	162
183	36	161
184	36	161
185	36	161
186	37	161
187	37	161
188	37	160
189	37	160
190	37	160
191	38	160
192	38	160
193	38	160
194	38	160
195	39	160
196	39	160
197	39	159
198	39	159
199	39	159
200	40	159
201	40	158
202	40	158
203	40	158
204	40	158
205	41	158
206	41	157
207	41	157
208	41	157
209	41	157
210	42	157
211	42	156
212	42	156
213	42	156
214	42	156
215	42	156
216	43	155
217	44	157
218	44	157
219	44	157
220	44	157
221	44	157
222	45	156
223	45	156
224	45	156
225	45	156
226	45	156
227	45	155
228	46	155
229	46	155
230	46	155
231	46	154
232	46	154
233	47	154
234	47	154
235	47	153
236	47	153
237	47	153
238	48	153
239	48	152
240	48	152
241	48	152
242	48	152
243	49	152
244	49	151
245	49	151
246	49	151
247	49	151
248	50	151
249	50	150
250	50	150
251	50	150
252	50	150
253	51	149
254	51	149
255	51	149
256	51	149
257	52	149
258	52	149
259	52	149
260	52	149
261	52	148
262	53	148
263	53	148
264	53	148
265	53	147
266	53	147
267	53	147
268	54	147
269	54	146
270	54	146
271	54	146
272	54	146
273	55	145
274	55	145
275	55	145
276	55	145
277	55	145
278	56	144
279	56	144
280	56	144
281	56	144
282	56	144
283	57	144
284	57	143
285	57	143
286	57	143
287	57	143
288	58	143
289	58	142
290	58	142
291	58	142
292	58	142
293	59	141
294	59	141
295	59	141
296	59	141
297	59	141
298	60	140
299	60	140
300	60	140
301	60	140
302	60	139
303	61	139
304	61	139
305	61	139
306	61	139
307	61	138
308	62	138
309	62	138
310	62	138
311	62	138
312	62	137
313	62	137
314	63	137
315	63	137
316	63	137
317	63	136
318	63	136
319	64	136
320	64	136
321	64	135
322	64	135
323	64	135
324	65	135
325	65	135
326	65	134
327	65	134
328	65	134
329	66	134
330	66	134
331	66	133
332	66	133
333	66	133
334	67	133
335	67	132
336	67	132
337	67	132
338	67	132
339	68	132
340	68	132
341	68	131
342	68	131
343	68	131
344	69	131
345	69	130
346	69	130
347	69	130
348	69	130
349	70	130
350	70	129
351	70	129
352	70	129
353	70	129
354	71	129
355	71	128
356	71	128
357	71	128
358	71	128
359	72	128
360	72	127
361	72	127
362	72	127
363	72	127
364	73	127
365	73	126
366	73	126
367	73	126
368	73	126
369	74	126
370	74	125
371	74	125
372	74	125
373	74	125
374	75	125
375	75	124
376	75	124
377	75	124
378	75	124
379	75	123
380	76	123
381	76	123
382	76	123
383	76	123
384	76	122
385	77	122
386	77	122
387	77	122
388	77	122
389	77	121
390	78	121
391	78	121
392	78	121
393	78	121
394	78	120
395	79	120
396	79	120
397	79	120
398	79	120
399	79	119
400	80	119
401	80	119
402	80	119
403	80	119
404	80	118
405	81	118
406	81	118
407	81	118
408	81	118
409	81	117
410	82	117
411	82	117
412	82	117
413	82	116
414	82	116
415	82	116
416	83	116
417	83	116
418	83	115
419	83	115
420	84	115
421	84	115
422	84	115
423	84	114
424	84	114
425	84	114
426	85	114
427	85	114
428	85	113
429	85	113
430	85	113
431	86	113
432	86	113
433	86	112
434	86	112
435	86	112
436	87	112
437	87	111
438	87	111
439	87	111
440	87	111
441	88	111
442	88	110
443	88	110
444	88	110
445	88	110
446	89	110
447	89	109
448	89	109
449	89	109
450	89	109
451	90	109
452	90	108
453	90	108
454	90	108
455	90	108
456	91	108
457	91	107
458	91	107
459	91	107
460	91	107
461	91	107
462	92	106
463	92	106
464	92	106
465	92	106
466	92	106
467	93	105
468	93	105
469	93	105
470	93	105
471	93	105
472	94	104
473	94	104
474	94	104
475	94	104
476	94	103
477	95	103
478	95	103
479	95	103
480	95	103
481	95	102
482	96	102
483	96	102
484	96	102
485	96	102
486	96	101
487	97	101
488	97	101
489	97	101
490	97	101
491	97	101
492	98	100
493	98	100
494	98	100
495	98	100
496	98	100
497	99	99
498	99	99
499	99	99
500	99	99
501	99	99
502	100	98
503	100	98
504	100	98
505	100	98
506	100	98
507	101	97
508	101	97
509	101	97
510	101	97
511	101	97
512	102	96
513	102	96
514	102	96
515	102	96
516	102	96
517	102	95
518	103	95
519	103	95
520	103	95
521	103	94
522	103	94
523	104	94
524	104	94
525	104	94
526	104	93
527	104	93
528	105	93
529	105	93
530	105	93
531	105	92
532	105	92
533	106	92
534	106	92
535	106	92
536	106	91
537	106	91
538	107	91
539	107	91
540	107	91
541	107	90
542	107	90
543	108	90
544	108	90
545	108	90
546	108	89
547	108	89
548	108	89
549	109	89
550	109	89
551	109	88
552	109	88
553	109	88
554	110	88
555	110	88
556	110	87
557	110	87
558	110	87
559	111	87
560	111	87
561	111	86
562	111	86
563	111	86
564	112	86
565	112	86
566	112	85
567	112	85
568	112	85
569	113	85
570	113	85
571	113	84
572	113	84
573	113	84
574	114	84
575	114	84
576	114	83
577	114	83
578	115	83
579	115	83
580	115	83
581	115	83
582	115	82
583	116	82
584	116	82
585	116	82
586	116	82
587	116	81
588	117	81
589	117	81
590	117	81
591	117	81
592	117	80
593	118	80
594	118	80
595	118	80
596	118	80
597	118	79
598	119	79
599	119	79
600	119	79
601	119	79
602	119	78
603	119	78
604	120	78
605	120	78
606	120	78
607	120	77
608	120	77
609	121	77
610	121	77
611	121	77
612	121	76
613	121	76
614	122	76
615	122	76
616	122	76
617	122	75
618	122	75
619	123	75
620	123	75
621	123	75
622	123	74
623	123	74
624	124	74
625	124	74
626	124	74
627	124	73
